Name,Actual_WAR,Predicted_WAR
Kevin Jordan,-0.1,0.2294093
Joe Kinsel,0.7,0.4784621
Marcos Soto,5.3,7.3179555
Jack Averett,0.4,1.2163574
Tom Jackson,0.6,1.0857953
Brock Ketelsen,0.1,0.73390913
Kendall George,3.6,4.1488056
Mark Fulgham,5.2,3.6762474
Roberto Balderas,5.1,1.5358741
Edouard Scimeca,3.9,1.3235806
Mark Fulgham,7.0,5.512452
Jairo Ocampo,4.3,3.0173352
Santiago Davila,1.1,0.78052336
Melvin Lopez,3.5,2.8879166
Manuel Espinoza,2.7,1.6343762
Mario Izurieta,5.8,5.183188
Glenn Matthews,0.6,2.4179363
Jacob Young,0.1,1.404242
Dennis Guidry,0.8,1.6734481
Glenn Matthews,3.6,1.157145
Gonçalvo Wada,1.7,0.38068512
Alex Vasquez,3.8,3.2534273
Alex Roldan,0.5,1.8559011
Dale Sweet,-0.2,0.9474382
Emanuel Rodriguez,3.1,2.373211
Carlos Hernandez,3.6,2.8582423
Jose Rodriguez,2.0,2.8966303
Ghi-cheng Geng,-0.3,2.04331
Werner Sykora,7.9,7.1119246
Hector Vigil,0.9,1.9147873
Mark Fulgham,0.4,1.9015862
Samuel Zavala,3.7,5.044574
Luis Robert Jr.,2.7,3.0955307
John Ellithorpe,-0.1,0.89028865
Ethan Bass,0.8,0.42954156
Jhostynxon Garcia,1.3,1.9612247
Orlando Stoneman,-0.1,0.98862326
Nelson Santa,-0.1,0.7937779
Joe Hann,7.5,6.960856
Emanuel Rodriguez,1.6,2.3478522
Dan Babson,0.7,0.7423456
Willie Martinez,1.6,0.2237763
Danny Salamanca,4.4,5.4829926
Brandon Walker,3.5,1.6389325
Brian Rochford,1.2,2.3386145
Jimmy Cuthill,3.6,1.7415231
Will Chance,2.2,0.20582974
Nick Villatoro,0.9,0.6835527
Jorge Esquivel,4.3,2.8825083
Chandler Simpson,0.3,2.6610482
Armando Blanco,1.5,1.6729318
Pete Crow-Armstrong,3.8,3.7207327
Orlando Zepeda,3.1,3.2508337
Brett Cain,4.4,2.1443553
Devin Saltiban,-0.9,1.2165176
Raul Herrera,-0.3,0.5791585
Fernando Cardona,0.5,1.4215926
Braylon Payne,1.0,3.2026892
Marco Aragon,1.2,1.3377547
Josh Shipley,0.2,0.15457655
Tom Jackson,1.0,2.5010402
Alex Dominguez,0.3,0.23080815
Jimmy Cuthill,1.6,1.2659492
Fernando Pinto,0.2,-0.51337564
Matt Matise,0.3,1.401823
Kyle Isbel,1.0,2.086019
Daylen Lile,-0.3,2.2532954
Rick Hall,6.5,6.5598583
Jhostynxon Garcia,0.6,0.69917387
Marcos Soto,8.2,6.690661
Tyson Lewis,1.0,0.8580739
Willie Martinez,0.1,0.06960642
Dale Sweet,0.4,0.84911275
Isaiah Tyler,-0.1,0.04094731
Mike Burnett,0.8,1.709571
Marco Palacios,0.7,1.2253225
Mike Costello,0.8,1.7771178
Glenn Matthews,2.9,3.7752545
Tony Medina,0.5,1.9774657
Luis Murillo,0.1,0.12850052
Alex Roldan,0.4,0.80124694
Jason Herrera,2.6,1.3112936
Josh Land,1.6,3.3060622
Mario Garcia,0.5,0.5169139
