Name,Actual_WAR,Predicted_WAR
Scott Hovermale,0.6,0.37113434
Travis Schaffer,-0.3,1.1802533
Jason Berlant,-0.2,1.3517938
Yeremi Cabrera,3.0,2.158257
Carlos Cejas,0.2,0.20953144
Juan Marquez,0.1,-0.71854734
Carlos Cejas,2.4,1.5361528
Alex Arredondo,4.0,2.1626983
Chris Crane,1.7,2.803009
Chase Davis,-0.2,-0.1464031
Ray Hammond,0.5,1.3249717
Mike Prado,3.6,3.376412
Jason Reyna,6.9,2.1756823
Manuel Calderon,0.3,1.0400783
Jorge Lazaro,0.4,0.25049022
Johnny Fischer,0.3,0.6252708
Lawrence Butler,1.7,2.3131936
Carlos Cejas,2.6,2.670496
Rafael Castro,1.1,1.3136194
Byron Chourio,2.8,2.0933576
Oneil Cruz,2.3,2.1365933
Shane Shane,0.4,0.55236524
Steve Bauck,-0.8,1.2529899
Jonatan Clase,1.2,1.585332
Jorge Gonzalez,0.6,1.7197869
Edgar Martinez,0.3,1.3600374
Kyle Tucker,3.9,5.298315
Carlos Silva,0.6,0.8047749
Scott Blatt,1.0,1.4469349
Adam Bryant,0.3,-0.03823518
Felipe Rendon,-0.5,-0.10747937
Juan Tarin,-0.1,2.569405
Edgar Rodregez,-0.2,-0.30157048
Mike McCallum,-1.0,0.17559056
Carlos Cajigas,0.3,1.7951797
Omar Rodriguez,-1.1,-0.1835305
Joe Matson,3.4,3.6308765
Brock Ketelsen,4.0,3.118229
Cory Adkins,2.0,0.64638793
Roberto Campos,0.7,-0.21982723
Carlos Cejas,2.1,3.0042355
Juan Marquez,0.3,1.7528543
Alvaro Salinas,2.9,2.0606837
Ryan Moore,0.9,2.82898
Braden Montgomery,0.4,2.4685369
Logan Sieverding,2.1,1.0762333
João Prudente,4.7,3.5579636
Chris Satorius,1.4,1.7601668
Cesar Serna,-0.5,0.43304127
Ivan Juarez,1.7,2.3997831
Omar Rodriguez,0.6,1.9244319
Mike Tiensuu,4.5,3.7638366
Angel Laya,0.7,1.3124164
Jake Bauers,-0.2,0.5123686
Rodrige Golfin,3.3,1.8041544
Melvin Lopez,6.7,3.9268694
Ben O'Connell,0.1,-0.09372303
Jake Fraley,2.3,1.0806515
Tony Hernandez,5.8,4.894383
Cory Adkins,0.7,0.67731047
Manuel Calderon,0.6,0.9360638
Andy Ganske,0.3,-0.18035035
Manny Vila,-0.2,0.50762916
Logan Sieverding,2.0,1.6628412
Moises Reyes,1.2,2.049349
Ryan LeMaster,0.7,1.4491836
Mike Tiensuu,3.5,3.5853527
Gabriel Dominguez,0.8,0.41060203
Fernando Castillo,0.4,0.72494346
Manny Guerrero,1.7,2.641171
Manuel Calderon,1.2,1.1371784
Juan Vazquez,3.8,4.6514206
George Springer,-0.3,0.49454015
Raul Hernandez,0.2,-0.35352147
Eli Sumpter,0.2,-0.46560764
Rodrige Golfin,1.2,1.6541828
Jose Suarez,3.5,5.6779575
Jaden Calhoun,0.9,2.4914622
Jose Prats,2.0,2.5312996
Colton Cowser,5.0,2.94197
Masayuki Komori,0.8,0.8000194
Jorvorskie Lane Jr.,-1.1,0.4190287
Drew Waters,1.0,0.8015747
Dominic Canzone,0.3,-0.15612738
Jorge Flores,-0.1,1.4161673
Alvaro Salinas,2.5,2.0329232
Bruce Valencia,7.2,5.7932253
Mordechai Sender,4.4,2.322818
Jon Habig,-0.5,0.28898174
Mike Tiensuu,5.1,3.5978396
German Mariscal,1.3,1.9938227
Ronald Acuna Jr.,5.6,5.8273945
Matt Matise,0.1,2.1673398
Angel Laya,1.7,0.35456744
Cole Carrigg,3.3,2.4772305
Zach Cole,0.3,1.8084188
Angel Naranjo,0.7,0.84969074
Tony Diaz,2.5,1.3800876
Raul Hernandez,0.7,0.102500156
Jamie Rable,2.8,3.3737667
Manuel Velez,4.9,6.4030595
Zach Cole,1.4,1.1313771
Edgar Rodregez,6.3,5.5167236
Nick Johnson,1.2,1.9037132
Ty Peeples,-1.1,1.4894736
Alex Trujillo,3.5,2.8956745
Skylar Morgan,1.7,1.6194673
Jordan Marquez,2.4,0.8280617
Jordan Walker,0.7,0.7121004
Roger Saenz,2.3,0.33139378
Joe Matson,1.5,2.8366535
Gabe Lopez,1.3,1.1563635
Scott Hovermale,1.2,1.9019364
Carlos Cajigas,1.3,1.2002782
Miguel Espana,2.4,2.7495368
Fernando Tatis Jr.,8.7,4.812687
Cody Bellinger,0.8,1.8540101
Chris Paynter,1.4,1.7886715
Miguel Garcia,2.3,4.3545904
Jordan Marquez,0.3,0.64427537
Jose Martinez,2.5,3.4431357
Dale Sweet,2.2,1.3754048
Dylan Crews,6.7,4.8821244
Edwin Holguin,-0.1,0.11950195
Stuart Stuessy,-0.3,2.3822079
Angel Laya,3.0,2.9659603
Scott Miller,1.4,3.3317938
Juan de la Torre,-0.2,0.15202442
Randy Sohn,0.1,1.6739168
Julio Caballero,-0.7,1.2432994
Josh Land,5.1,3.5771701
Gary Curtis,0.8,2.0330517
Moises Reyes,-0.4,0.468783
Henning Brown,2.3,2.2281554
Dylan Crews,4.0,5.884149
Griffin Burkholder,1.3,2.2121687
Jose Hernandez,1.6,1.3533324
Tony Diaz,2.4,1.2234986
Jordan Tobar,4.1,3.691774
Bill Perez,3.9,1.280681
Ty Peeples,1.3,0.52683973
Kyle Tucker,1.7,3.2526402
Dennis Clinton,0.5,0.93515104
Alex Martinez,0.4,3.021673
Rodrige Golfin,0.2,0.8499268
