,0
POW vR,0.15352106095298618
CON vR,0.14627909327850533
IF RNG,0.03722322610807355
EYE vL,0.03073847470991642
POW vL,0.028429871649919402
IF ARM,0.028270660077745445
GAP vR,0.024832188393820964
EYE vR,0.022166004671468675
K vR,0.01745571543205158
RUN,0.017001710491330126
BA vR,0.010392321173512764
K vL,0.007533011707210624
GAP vL,0.0058724866877033375
CON vL,0.0053928601484322545
SPE,0.003945231573531882
BFH,0.0011135413479033795
IF ERR,0.0005199484891828976
C ARM,0.0005037504114302372
BUN,0.00037623432158330196
OF RNG,0.00013069497316723356
TDP,9.195033783631068e-05
C FRM,-1.4914082907213634e-06
STE,-7.295299710095016e-05
C ABI,-0.0001611158805084778
BA vL,-0.0003558827623593275
OF ERR,-0.0005360341501859933
SR,-0.0007587651816641672
OF ARM,-0.002413144209673457
