,0
POW vR,0.1789269744559427
CON vR,0.12030074490692817
STE,0.043000213227516904
RUN,0.03964125139235895
POW vL,0.03962086587344783
SPE,0.031921600473616044
SR,0.0184489634478485
K vR,0.01779225691970667
GAP vR,0.01761580129228447
EYE vR,0.016734702054030402
EYE vL,0.013914728795053899
BA vR,0.010523113093735815
BUN,0.009798074372543186
CON vL,0.008671195623264471
K vL,0.008139051942831543
GAP vL,0.007256009525790408
BFH,0.00635954513655459
BA vL,0.005840623770141373
