Name,Actual_WAR,Predicted_WAR
Juan Valentin,4.4,2.8576038
Tyler Soderstrom,0.7,-0.06576057
Marc Geller,-0.6,0.5991396
Ryo Akamine,1.1,1.6834197
Jose Ranos,3.5,2.7073457
Ryan Randolph,1.9,0.02302589
Jeferson Quero,2.5,2.080818
Josh Scott,0.4,0.8229236
Vinny Molina,-1.1,0.69395494
Ron LaRosa,1.8,1.4642875
Patrick Bailey,3.5,2.411431
Sean Murphy,3.8,2.056562
Greg Chavarria,8.0,6.421754
Teruhiko Nagata,4.5,6.4555674
Manny Castillo,4.1,2.530045
Miguel Amaya,1.6,0.11949335
Hyun-il Ye,2.7,2.8543725
Chris Swedlow,2.3,3.157759
U L Johnson,-0.8,0.55909145
Aaron Long,1.0,0.965643
Bill Luna,2.3,1.3921977
Ignacio Munoz,2.6,2.3661983
Oscar Flores,1.4,0.591943
Jeremy Cramer,0.6,1.794846
John Flower,1.0,0.6848984
Dan Williams,1.9,0.83159775
Rey Gonzales,2.2,1.5711404
Salvador Perez,0.6,0.5372247
Jeremy Padilla,3.3,2.057017
Jose Brito,0.5,0.8107526
Jeferson Quero,5.0,4.467129
Connor Burns,1.1,1.3149877
Sang-hun Shim,1.7,2.2071075
Francisco Anchondo,2.0,0.70405746
Jeferson Quero,2.7,2.9310632
Bill Wright,3.5,1.4245087
Jose Ranos,0.2,0.51760286
Ron LaRosa,0.8,1.2447509
Bill Luna,1.7,1.3230747
Carlos Mendez,-0.1,0.33157167
Sjaak Thoma,-0.3,0.20000029
Bryan Thurston,2.4,1.0521593
Varlam Mustafayev,1.0,1.2419759
Tim Martin,0.4,0.61182886
Josh Kross,-0.2,1.515853
Jesus Murillo,2.8,2.245488
Bobby Graciano,1.1,1.672837
Dominic Keegan,3.1,1.3800256
Kenny Blakemore,0.8,2.048364
Rafael Marchan,1.3,1.0114892
Francisco Alvarez,2.5,1.7475524
Jordan Kelley,0.1,0.09678228
Curt Phillips,2.2,2.4364836
Matt Bruns,6.2,5.472276
Josh Rutkowski,1.2,0.4619799
Mario Martinez,0.2,0.25979358
Manny Castillo,2.9,2.0745375
Danny Cota,3.8,2.8311648
Jeremy Burkett,1.0,0.47085774
Armando Pulido,0.9,2.0839124
Jimmy Crooks,1.3,0.49093813
Vinny Molina,2.6,0.93937826
Brian Robinson,-0.1,0.31103745
Raul Oronia,-0.3,0.72755843
Rey Gonzales,2.1,1.569997
Francisco Alvarez,6.5,4.3146877
Bo Naylor,3.5,2.8134427
Josh Coburn,0.7,-0.25464824
Bill Wright,1.4,1.1463461
Dillon Dingler,1.8,2.203544
Tyler Soderstrom,-0.4,0.5083873
Jesus Hernandez,1.1,0.11594888
Gene Doyon,0.4,1.4961231
Greg Chavarria,4.9,6.156294
Adrian Del Castillo,0.3,-5.531567e-05
Samuel Basallo,-0.4,-0.058457565
Shea Langeliers,4.8,2.378549
