Name,Actual_WAR,Predicted_WAR
Lars Nootbaar,0.8,0.5858033
Mario Villarreal,2.2,1.6255085
Nick Johnson,0.6,0.54482025
Roger Montoya,-0.7,1.4538726
Moises Gomez,-0.1,0.2379881
Brian Dees,1.4,0.9094106
Gastão Guards,0.4,0.82698184
Antonio Charo,6.8,7.325954
Rick Hall,0.4,1.4885904
Will Johnson,1.6,0.64811075
Justyn-Henry Malloy,1.1,0.8333262
Danny Sandoval,-1.1,0.62839174
Luke Loiselle,0.1,0.3579011
Gabriel Avitia,1.1,1.2845793
Rick Hall,2.5,2.1807725
Riley Greene,0.2,-0.115482755
Allan Castro,0.5,0.7275605
Sergio Arenas,0.1,0.6748328
Chase Davis,-0.2,0.6373072
Alejandro Cervantes,1.1,1.0909885
Logan Sieverding,4.2,2.233237
Luis MacKell,1.9,3.3404288
Rodrige Golfin,-0.5,2.4212081
Jeremy Beckett,0.1,3.0770593
Trevor Larnach,-0.4,-0.09023925
Joaquin Zarco,2.8,1.087422
Jack Suwinski,2.0,2.397461
Juan Perez,4.2,2.6052623
Billy Jones,0.4,0.7640971
Nolan Jones,1.5,1.1178662
John Reichard,1.3,1.0476754
Brett Wise,0.2,0.83969706
Matt Bianchi,2.5,2.7298524
Brian Kline,1.8,1.0990359
Echedry Griffin,0.1,-0.32525992
Eddie Wise,0.2,0.40950784
Colton Cowser,1.2,2.0025103
Ricky Macias,5.0,2.6251476
Jack Suwinski,0.4,2.4487455
Luis Zavala,1.2,1.8292617
Ivan Juarez,0.2,1.7586038
Jonah Foley,0.7,1.4067785
John Woods,0.7,1.7183901
Tyler Carrithers,1.7,1.9270574
Trent Bostian,-0.3,0.45302927
Travis Schaffer,1.4,0.24127226
Jorge Diaz,0.3,1.5505309
Heliot Ramos,3.8,1.1648072
Mike Henry,0.2,3.3075893
Manabu Tamura,3.4,0.85961
Victor Gonzales,0.3,1.5103981
Jeremy Duncombe,2.0,2.5641108
Eric Palka,5.8,5.8096485
Roman Anthony,3.8,4.3638477
David Colley,1.0,0.94447905
Rafael Castro,0.9,0.027296923
Ernesto Gamez,4.8,4.471938
Jesus Rocha,0.4,0.51833785
Antonio Rosa,-0.8,0.4807158
Hector Vigil,0.3,1.1803728
Omar Marin,7.2,6.475058
Juan Perez,-1.1,-0.11892595
Jordan Rivera,-0.1,0.8869764
Mike Young,-0.2,0.33125058
Wyatt Langford,4.2,2.1359441
Tony Perez,1.1,0.043487623
Steve Carter,0.3,0.8215866
Steve Doherty,-0.4,0.121201776
Brian Kline,-0.9,-0.09983882
Joe Pate,-0.1,1.0681854
Jeff Levy,3.1,2.3507879
Alexander Canario,2.6,1.7432092
Jackson Merrill,-0.4,-0.072689794
Jordan Rivera,0.4,0.22095512
Tony Duran,-1.2,0.62493366
Luis Matos,1.6,1.9602245
David Thornton,5.9,6.008949
Juan Martinez,0.5,0.79696846
Riley Greene,5.1,4.987279
