Name,Actual_WAR,Predicted_WAR
David Cortez,2.5,4.9745374
Joe Lazar,0.1,0.7865351
Arturo Alvarez,2.7,1.9122412
Cesar Aguayo,2.8,3.0829155
Luis Santos,0.7,0.9465627
Luis Valdez,0.2,0.6218551
Leonardo Bustamante,0.1,0.74866706
Nick Kurtz,4.9,1.6912332
Ryan Cromey,0.1,0.29501384
James Wood,-1.3,0.06285765
Medardo Hein,0.3,0.74511176
Edward Quinonez,0.3,0.4553456
Melvin Landeros,7.4,3.5459647
Luis Barajas,-0.2,0.43092534
Jesus Cantu,-0.7,0.3688251
Matt Lorton,-0.2,1.1466123
Peter Williams,0.2,0.1796304
Jose Prats,2.3,1.4298385
Roger Arendt,-0.3,0.4456654
Kazuya Fukuda,0.3,0.6772688
Chris Babcock,-0.1,-0.29163548
Cesar Aguayo,5.6,6.049936
Al Castillo,0.7,0.7870016
Alec Bohm,0.3,2.156666
Jeremy Jones,1.5,1.197756
Tony Duran,1.6,2.4484599
Javy Banuelos,3.0,2.8102996
Fernando Cova,3.8,3.4435825
Charlie Condon,0.4,0.24453762
Alejandro Gonzalez,-0.2,1.0608226
Ricky Alcala,2.6,2.464118
Tommy Anderson,0.1,0.7160879
William Morales,1.7,1.7477839
Luis Villa,2.7,1.7618152
Marcos Villareal,6.8,3.9703152
Carlos Median,5.0,2.5371544
Carlos Garcia,1.1,1.6223369
Warren Lynch,0.1,-0.51508874
Cam Collier,2.8,3.239538
Maximino Raupp,0.2,0.8715134
Jesse Larson,-1.1,0.07209521
Marco Ibanez,-0.1,0.28669176
Mike Hicks,2.7,1.5954651
Mark Collyer,0.2,2.3563912
Sergio Gonzalez,-0.1,1.0314687
Antonio Caicedo,0.6,0.2580244
Josh Aber,0.5,0.7201932
Ralphy Velazquez,4.4,3.88006
Antonio Charo,2.7,1.9522157
Edward Quinonez,0.5,1.1463126
Osvaldo Galan,0.5,0.96584827
Sergio Gonzalez,-0.3,0.40040678
Bronson Smith,4.2,4.396405
Mike Hansen,0.6,1.4494705
Jorge Martinez,-0.1,0.6231474
Aaron Bevilacqua,-0.8,-0.08632754
Pedro Aguilar,0.1,1.1620096
B.J. Carrillo,-0.3,1.0131751
Ernesto Partida,0.3,-0.08033726
Jose Prats,3.0,1.7299666
Heriberto Gomez,0.4,0.6158226
Fernando Galiano,5.3,4.903429
Evaristo Fresi,1.3,3.8191593
Maximino Raupp,1.3,2.292036
Carlos Famoso,1.0,2.0433247
Nolan Schanuel,1.3,1.5469586
Javy Banuelos,0.6,1.1421362
Kiyomitsu Nishiyama,0.2,-0.5842228
Connor Norby,-0.4,0.7718094
Michael Toglia,2.1,1.2415544
Albert Jimenez,1.2,1.0944026
Phil Hicks,0.3,1.0707653
Bill Mejia,0.6,0.81089413
Juan Hernandez,4.8,3.1985912
Dante Johnson,-0.3,-0.103873715
Tony Duran,2.4,3.1401956
Sandy Gusman,-2.4,1.6996406
Ian Happ,0.3,0.17910828
Daniel Cruz,-0.1,-1.0259727
Joreão Baia,1.1,0.85951763
John Canida,0.7,4.0131083
Francisco Rios,1.5,2.0711527
Jeremy Jones,1.4,0.4376556
Marco Ibanez,1.9,0.47288582
Jose Rivera,0.7,0.13396652
Jose Prats,-0.8,0.11987211
David Estrada,0.4,1.2631743
Ruben Lis,-0.4,0.2540564
Tyler Nevin,-0.2,0.07219659
Curtis Mead,-0.3,0.5194769
Jesse Larson,0.1,-0.05285445
Hsiao-lou Hang,0.2,0.61248976
Antonio Garcia,4.0,4.943285
Danny Cota,-1.2,1.288125
Clint Bonk,0.9,0.6943924
Pedro Flores,5.2,3.8303735
Ricky Rodriguez,1.8,2.6135263
Paul Thomas,1.2,2.504766
Jose Tapia,4.5,3.2494662
Evaristo Garlaschelli,1.4,2.84356
Jim Dalpe,-0.1,-0.7026399
Josh Aber,0.3,0.4183526
Hugo Martinez,0.3,0.48756295
Cam Collier,3.8,1.658859
Blake Phelan,0.6,0.78194404
Chris McBride,0.1,-0.034663845
Bill Luna,3.6,1.579949
Jason Mansi,0.1,1.1462271
Joreão Baia,0.7,1.1980377
Francisco Araya,0.1,0.7122763
Eduardo Vargas,0.9,0.65367466
Mario Villanueva,0.2,0.19570535
Marcos Villareal,2.8,2.5525427
Angelo Quiroga,1.6,3.7943313
Angelo Quiroga,1.2,2.9365659
Jordan Jimenez,-0.2,0.39792654
Victor Ramos,0.4,1.2328068
Melvin Romero,1.2,1.2458363
Nolan Schanuel,2.7,2.2467697
Jarrett Jordan,0.4,0.72020185
Cory Hinman,0.7,-0.17987841
Brandon Lowe,3.3,1.7902596
Marcos Villareal,2.3,3.985399
Carlo Greenway,0.2,1.1407008
Jake Cronenworth,2.3,1.0573618
Miguel Soto,4.6,1.679613
Brandon Lowe,3.0,0.60301024
Tony Garcia,2.4,1.7226124
Francisco Rios,0.9,1.8205057
Russell Davidson,-0.1,-0.7822228
Francisco Rios,0.1,1.1998155
Greg Perkins,0.9,0.120628074
Jordan Jimenez,2.7,1.7422669
Francisco Bonilla,1.0,0.3314842
Matt LaFond,-0.2,1.2427099
Nate Kelley,0.1,2.1315126
Francisco Araya,2.0,1.0462718
Ricky Padilla,-0.1,0.894478
Guangbiao Meehan,1.9,1.089756
Junior Caminero,2.6,2.1050308
Manuel Velez,4.7,4.5304976
Ryan Matthews,3.8,3.3592403
Paul Duarte,-0.9,0.43144634
Angelo Garcia,0.1,0.71229535
Willson Contreras,0.5,1.3932295
Angelo Garcia,1.9,1.170894
Danny Rodriguez,1.5,2.291658
Arturo Bautista,5.9,6.364542
Ralphy Velazquez,3.1,4.192387
Marco Ibanez,1.2,1.7065161
Miguel Vargas,1.0,1.5303196
Francisco Vargas,7.2,7.3316326
Byron Wheeler,-0.2,0.7739655
Maximino Raupp,2.0,1.4071537
Edwin Fletcher,-0.5,0.20799033
Evaristo Garlaschelli,1.8,1.085535
Jamie Bokman,1.0,1.2782586
Rich Gonzalez,1.7,3.1847713
Aaron Bevilacqua,0.1,-0.519153
Ricardo Rodriguez,1.3,0.28551123
Sandy Garcia,2.0,1.6542193
Arturo Bautista,5.1,5.1428294
Thomas Saggese,0.1,0.8619277
Medardo Hein,0.2,0.13854375
Marcos Villareal,1.5,0.47655967
Willie Vigil,2.5,1.7664068
Jonathan de los Santos,0.3,2.1190577
Josh Naylor,1.4,0.74859446
Dave Ellis,0.5,0.072778784
Xavier Isaac,-0.3,0.8352466
Phil Raess,0.1,0.12824346
Luis Solis,0.1,0.2107937
Jordan Jimenez,4.3,2.5934968
Alex Dempsey,0.4,0.16113764
Yordan Alvarez,-1.2,-0.6938553
Albert Jimenez,0.5,0.15282102
Hector Roa,-0.4,-0.263673
Bill Mejia,1.7,0.8161128
Jonathan Cooper,0.6,2.860726
Melvin Rodriguez,3.4,4.1458106
Pat Kowalke,1.0,0.48872262
Marco Ibanez,2.2,1.8022884
Roberto Carrillo,0.3,2.271402
Melvin Rodriguez,5.6,3.4772418
Pete Alonso,0.4,1.2153585
Eddie Millan,4.3,3.504926
Hector Higuera,2.0,2.8917382
Arturo Bautista,6.1,6.181897
Luis Avala,2.1,1.4157627
Hao-Yu Lee,1.6,1.4533658
Antonio Rubio,1.5,1.1029978
Angelo Garcia,1.4,1.0753258
Bill Mejia,-0.2,0.06301361
Arturo Mendoza,1.8,2.32835
Hector Roa,2.5,2.427195
Javier Reyes,5.5,3.9336998
Corey Best,-0.2,-0.037581954
Greg Perkins,0.7,0.4750301
Felipe Arvizu,-0.1,0.06895419
Brian Fiebig,0.1,0.07368752
Gabriel Arango,-0.8,0.42789468
Cesar Aguayo,10.8,7.594195
David Rebollar,3.2,2.3998246
Vicente Ferrer,2.9,1.3931029
Brent Rooker,1.2,1.2538146
Xavier Isaac,2.4,2.831366
